Profession,Language,Translated Job Description,Translated Resume
Elementary School Teachers,es,"Desarrolle y entregue planes de lecciones dirigidos a estudiantes jóvenes en diversas materias. Evalúe el desempeño de los estudiantes mediante evaluaciones, proporcionando comentarios y orientación. Fomente un entorno de aprendizaje positivo, inclusivo y estimulante. Colabore con los padres, el personal escolar y los administradores para apoyar el crecimiento de los estudiantes y abordar sus inquietudes.","Farah Ali: Maestra de primaria con 10 años en Bright Futures Academy. Implementé un programa de alfabetización digital, que mejoró el dominio tecnológico de los estudiantes en un 30%. Asesoré a cinco maestros jóvenes en el desarrollo curricular. Galardonado tres veces como «Maestro del año» por su destacado compromiso con el crecimiento de los estudiantes."
Elementary School Teachers,hi,"विभिन्न विषयों के युवा शिक्षार्थियों के लिए तैयार की गई पाठ योजनाएँ विकसित करना और उन्हें वितरित करना। मूल्यांकन के माध्यम से छात्रों के प्रदर्शन का मूल्यांकन करें, फीडबैक और मार्गदर्शन प्रदान करें। सीखने के सकारात्मक, समावेशी और प्रेरक माहौल को बढ़ावा दें। छात्रों के विकास में सहायता करने और चिंताओं को दूर करने के लिए माता-पिता, स्कूल स्टाफ और प्रशासकों के साथ जुड़ें।","फराह अली: ब्राइट फ्यूचर्स अकादमी में 10 साल के साथ प्राथमिक शिक्षक। एक डिजिटल साक्षरता कार्यक्रम लागू किया, जिससे छात्र तकनीकी दक्षता में 30% की वृद्धि हुई। पाठ्यचर्या के विकास में पांच जूनियर शिक्षकों को सलाह दी। छात्र विकास के प्रति उत्कृष्ट प्रतिबद्धता के लिए तीन बार 'टीचर ऑफ द ईयर' से सम्मानित किया गया।"
Elementary School Teachers,ar,تطوير وتقديم خطط الدروس التي تلبي احتياجات المتعلمين الصغار في مختلف الموضوعات. قم بتقييم أداء الطلاب من خلال التقييمات وتقديم الملاحظات والإرشادات. تعزيز بيئة تعليمية إيجابية وشاملة ومحفزة. تواصل مع أولياء الأمور وموظفي المدرسة والإداريين لدعم نمو الطلاب ومعالجة المخاوف.,فرح علي: معلمة ابتدائية لديها 10 سنوات في أكاديمية برايت فيوتشرز. تم تنفيذ برنامج محو الأمية الرقمية، مما أدى إلى تحسين الكفاءة التقنية للطلاب بنسبة 30٪. قام بتوجيه خمسة معلمين مبتدئين في تطوير المناهج الدراسية. حصل على جائزة «معلم العام» ثلاث مرات لالتزامه المتميز بنمو الطلاب.
Elementary School Teachers,pt,"Desenvolva e entregue planos de aula voltados para jovens alunos em várias disciplinas. Avalie o desempenho dos alunos por meio de avaliações, fornecendo feedback e orientação. Promova um ambiente de aprendizado positivo, inclusivo e estimulante. Interaja com pais, funcionários da escola e administradores para apoiar o crescimento dos alunos e resolver as preocupações.","Farah Ali: Professora primária com 10 anos na Bright Futures Academy. Implementou um programa de alfabetização digital, melhorando a proficiência técnica dos alunos em 30%. Orientou cinco professores juniores no desenvolvimento curricular. Premiado como “Professor do Ano” três vezes por seu excelente compromisso com o crescimento dos alunos."
Elementary School Teachers,bn,"বিভিন্ন বিষয় জুড়ে তরুণ শিক্ষার্থীদের জন্য পাঠ পরিকল্পনা তৈরি করুন এবং সরবরাহ করুন। মূল্যায়নের মাধ্যমে শিক্ষার্থীদের পারফরম্যান্স মূল্যায়ন করুন, প্রতিক্রিয়া এবং একটি ইতিবাচক, অন্তর্ভুক্ত এবং উদ্দীপক শেখার পরিবেশ বাড়ান শিক্ষার্থীদের বৃদ্ধিকে সমর্থন করতে এবং উদ্বেগ সমাধানের জন্য পিতামাতা, স্কুল কর্মী এবং প্রশাসক","ফারাহ আলী: ব্রাইট ফিউচার একাডেমিতে 10 বছর ধরে প্রাথমিক শিক্ষক। একটি ডিজিটাল সাক্ষরতা প্রোগ্রাম বাস্তবায়ন করে, শিক্ষার্থীদের প্রযুক্তি দক্ষতার উন্নতি 30%। পাঠ্যক্রম বিকাশে পাঁচজন জুনিয়র শিক্ষককে পরা শিক্ষার্থীদের বৃদ্ধির প্রতি অসামান্য প্রতিশ্রুতির জন্য তিনবার 'শিক্ষক অফ দ্য ইয়ার'"
Elementary School Teachers,ru,"Разработайте и разработайте планы уроков для юных учащихся по различным предметам. Оценивайте успеваемость учащихся с помощью оценок, предоставления отзывов и рекомендаций. Создавайте позитивную, инклюзивную и стимулирующую учебную среду. Взаимодействуйте с родителями, школьным персоналом и администраторами, чтобы поддержать рост учащихся и решить проблемы.","Фара Али: учительница начальных классов с 10-летним стажем в Академии Bright Futures. Реализовала программу цифровой грамотности, благодаря которой уровень технической грамотности учащихся повысился на 30%. Наставлял пять младших учителей по разработке учебных программ. Трижды был удостоен звания «Учитель года» за выдающуюся приверженность развитию учащихся."
Elementary School Teachers,ja,さまざまな科目の若い学習者向けの授業計画を作成して提供します。評価を通じて生徒の成績を評価し、フィードバックや指導を行います。ポジティブでインクルーシブで刺激的な学習環境を育みます。保護者、学校職員、管理者と連携して、生徒の成長を支援し、懸念事項に対処してください。,ファラ・アリ：ブライト・フューチャーズ・アカデミーで10年間勤務した小学校教師。デジタルリテラシープログラムを実施し、学生の技術力を 30% 向上させました。5人のジュニア教員をカリキュラム開発で指導しました。生徒の成長に対する優れた取り組みが評価され、「年間最優秀教師」を3回受賞。
Elementary School Teachers,de,"Entwickeln und implementieren Sie Unterrichtspläne für junge Lernende in verschiedenen Fächern. Beurteilen Sie die Leistungen der Schüler anhand von Beurteilungen und geben Sie Feedback und Anleitungen. Fördern Sie ein positives, inklusives und anregendes Lernumfeld. Arbeiten Sie mit Eltern, Schulpersonal und Administratoren zusammen, um die Entwicklung der Schüler zu unterstützen und Bedenken auszuräumen.","Farah Ali: Grundschullehrerin mit 10 Jahren an der Bright Futures Academy. Implementierung eines Programms zur digitalen Kompetenz, das die technischen Fähigkeiten der Schüler um 30% verbesserte. Betreuung von fünf Nachwuchslehrern bei der Lehrplanentwicklung. Dreimal als „Lehrer des Jahres“ für herausragendes Engagement für die Weiterentwicklung der Schüler ausgezeichnet."
Truck Drivers,en,"Safely operate trucks to transport goods between specified locations. Ensure timely deliveries while adhering to established routes and regulations. Monitor vehicle condition, perform minor repairs, and maintain relevant documentation. Communicate with dispatchers, customers, and supply chain personnel for smooth operations.",Mike Johnson: Seasoned Truck Driver with 12 years transporting goods across the country for Swift Transports. Maintained a 100% safety record and consistently met delivery deadlines. Proficient in advanced navigation software and vehicle maintenance. Twice recognized for perfect attendance and commitment to duty.
Truck Drivers,zh,安全操作卡车在指定地点之间运输货物。确保及时交货，同时遵守既定路线和法规。监控车辆状况，进行小修，并保存相关文档。与调度员、客户和供应链人员沟通，确保运营顺畅。,迈克·约翰逊：经验丰富的卡车司机，在全国范围内为 Swift Transports 运送货物已有 12 年的经验。保持 100% 的安全记录，并始终如一地遵守交货期限。精通高级导航软件和车辆维护。两次因出勤率和忠于职守而获得认可。
Truck Drivers,es,"Opere camiones de forma segura para transportar mercancías entre ubicaciones específicas. Garantice las entregas puntuales y, al mismo tiempo, cumpla con las rutas y regulaciones establecidas. Supervise el estado del vehículo, realice reparaciones menores y conserve la documentación pertinente. Comuníquese con los despachadores, los clientes y el personal de la cadena de suministro para que las operaciones sean fluidas.",Mike Johnson: conductor de camión experimentado con 12 años transportando mercancías por todo el país para Swift Transports. Mantuvo un registro de seguridad del 100% y cumplió consistentemente con los plazos de entrega. Competente en software de navegación avanzado y mantenimiento de vehículos. Reconocido dos veces por su perfecta asistencia y compromiso con el deber.
Truck Drivers,hi,"निर्दिष्ट स्थानों के बीच माल ले जाने के लिए ट्रकों को सुरक्षित रूप से संचालित करें। स्थापित मार्गों और विनियमों का पालन करते हुए समय पर डिलीवरी सुनिश्चित करें। वाहन की स्थिति की निगरानी करें, मामूली मरम्मत करें और प्रासंगिक दस्तावेज़ीकरण बनाए रखें। सुचारू संचालन के लिए डिस्पैचर्स, ग्राहकों और सप्लाई चेन कर्मियों के साथ संवाद करें।","माइक जॉनसन: अनुभवी ट्रक ड्राइवर, जो स्विफ्ट ट्रांसपोर्ट के लिए देश भर में 12 साल से माल की ढुलाई कर रहा है। 100% सुरक्षा रिकॉर्ड बनाए रखा और डिलीवरी की समय सीमा को लगातार पूरा किया। उन्नत नेविगेशन सॉफ़्टवेयर और वाहन रखरखाव में कुशल। दो बार पूर्ण उपस्थिति और कर्तव्य के प्रति प्रतिबद्धता के लिए पहचाने जाते हैं।"
Truck Drivers,ar,قم بتشغيل الشاحنات بأمان لنقل البضائع بين المواقع المحددة. ضمان التسليم في الوقت المناسب مع الالتزام بالمسارات واللوائح المعمول بها. راقب حالة السيارة، وقم بإجراء إصلاحات طفيفة، واحتفظ بالوثائق ذات الصلة. تواصل مع المرسلين والعملاء وموظفي سلسلة التوريد من أجل عمليات سلسة.,مايك جونسون: سائق شاحنة متمرس يتمتع بخبرة 12 عامًا في نقل البضائع في جميع أنحاء البلاد لشركة Swift Transports. حافظ على سجل أمان بنسبة 100٪ والتزم بالمواعيد النهائية للتسليم باستمرار. يتقن برامج الملاحة المتقدمة وصيانة المركبات. تم تكريمه مرتين للحضور المثالي والالتزام بالواجب.
Truck Drivers,pt,"Opere caminhões com segurança para transportar mercadorias entre locais específicos. Garanta entregas em tempo hábil, respeitando as rotas e regulamentos estabelecidos. Monitore a condição do veículo, realize pequenos reparos e mantenha a documentação relevante. Comunique-se com despachantes, clientes e pessoal da cadeia de suprimentos para operações tranquilas.",Mike Johnson: Motorista de caminhão experiente com 12 anos transportando mercadorias em todo o país para a Swift Transports. Manteve um registro de 100% de segurança e cumpriu os prazos de entrega de forma consistente. Proficiente em software avançado de navegação e manutenção de veículos. Duas vezes reconhecido pelo atendimento perfeito e pelo compromisso com o dever.
Truck Drivers,bn,"নির্দিষ্ট অবস্থানের মধ্যে পণ্য পরিবহনের জন্য নিরাপদে ট্রাক পরি প্রতিষ্ঠিত রুট এবং বিধি মেনে চলার সময় সময়মত বিতরণ নিশ্চিত করুন গাড়ির অবস্থা নিরীক্ষণ করুন, ছোটখাট মেরামত করুন এবং প্রাসঙ্গিক ডকু মসৃণ ক্রিয়াকলাপের জন্য প্রেরক, গ্রাহক এবং সরবরাহ চেইন কর্মীদের সাথে যোগাযোগ করুন।",মাইক জনসন: সুইফট ট্রান্সপোর্টের জন্য দেশ জুড়ে পণ্য পরিবহন করে 12 বছর ধরে মুক্ত ট্রাক একটি 100% সুরক্ষা রেকর্ড বজায় রেখেছে এবং ধারাবাহিকভাবে ডেলিভারি উন্নত নেভিগেশন সফ্টওয়্যার এবং গাড়ির রক্ষণাবেক্ষণে দ নিখুঁত উপস্থিতি এবং দায়িত্বের প্রতি প্রতিশ্রুতির জন্য দুবার
Truck Drivers,ru,"Безопасное управление грузовиками для перевозки товаров между указанными местами. Обеспечьте своевременную доставку, соблюдая установленные маршруты и правила. Контролируйте состояние автомобиля, выполняйте мелкий ремонт и сохраняйте соответствующую документацию. Общайтесь с диспетчерами, клиентами и персоналом цепочки поставок для обеспечения бесперебойной работы.",Майк Джонсон: опытный водитель грузовика с 12-летним стажем перевозит товары по всей стране для Swift Transports. Обеспечил 100-процентный уровень безопасности и стабильно соблюдал сроки доставки. Владеет передовым навигационным программным обеспечением и техническим обслуживанием автомобилей. Дважды признана за отличную посещаемость и преданность долгу службы.
Truck Drivers,ja,トラックを安全に操作して、指定された場所間で商品を輸送します。確立されたルートと規制を順守しながら、タイムリーな配送を確保します。車両の状態を監視し、軽微な修理を行い、関連文書を管理します。配車担当者、顧客、サプライチェーンの担当者と連絡を取り、円滑な運用を実現します。,マイク・ジョンソン：Swift Transportsで12年間全国に商品を輸送してきたベテランのトラックドライバー。100% の安全記録を維持し、一貫して納期を守りました。高度なナビゲーションソフトウェアと車両メンテナンスに長けている。完璧な出席率と職務への献身が二度認められました。
Truck Drivers,de,"Betreiben Sie Lkw sicher, um Waren zwischen bestimmten Orten zu transportieren. Stellen Sie termingerechte Lieferungen sicher und halten Sie dabei die festgelegten Routen und Vorschriften ein. Überwachen Sie den Zustand des Fahrzeugs, führen Sie kleinere Reparaturen durch und pflegen Sie die entsprechenden Unterlagen. Kommunizieren Sie mit Dispatchern, Kunden und Mitarbeitern der Lieferkette, um einen reibungslosen Betrieb zu gewährleisten.",Mike Johnson: Erfahrener Lkw-Fahrer mit 12 Jahren Erfahrung im Transport von Waren durch das Land für Swift Transports. Hat eine 100-prozentige Sicherheitsbilanz aufrechterhalten und die Lieferfristen konsequent eingehalten. Gute Kenntnisse in fortschrittlicher Navigationssoftware und Fahrzeugwartung. Zweimal ausgezeichnet für perfekte Teilnahme und Einsatzbereitschaft.
Farmworkers,en,"Participate in planting, cultivating, and harvesting crops. Operate farm machinery and equipment in alignment with safety standards. Assist with livestock care, including feeding, grooming, and health monitoring. Maintain farm facilities, ensuring cleanliness and functionality.",Sara Gonzalez: Farmworker with 9 years at Green Valley Orchards. Spearheaded a pest-management initiative that increased crop yield by 15%. Skilled in organic farming techniques and modern farm machinery. Led training for new hires on sustainable farming practices.
Farmworkers,zh,参与种植、耕作和收获农作物。按照安全标准操作农用机械和设备。协助牲畜护理，包括喂养、美容和健康监测。维护农场设施，确保清洁和功能齐全。,萨拉·冈萨雷斯：在绿谷果园工作了9年的农场工人。率先发起了一项害虫管理计划，将农作物产量提高了15％。精通有机农业技术和现代农业机械。为新员工提供有关可持续农业实践的培训。
Farmworkers,es,"Participe en la plantación, el cultivo y la cosecha de cultivos. Opere la maquinaria y el equipo agrícola de acuerdo con las normas de seguridad. Ayude con el cuidado del ganado, incluida la alimentación, el aseo y el control de la salud. Mantenga las instalaciones de la granja, garantizando la limpieza y la funcionalidad.",Sara Gonzalez: Trabajadora agrícola con 9 años en Green Valley Orchards. Encabezó una iniciativa de control de plagas que aumentó el rendimiento de los cultivos en un 15%. Experto en técnicas de agricultura orgánica y maquinaria agrícola moderna. Dirigió la capacitación para nuevos empleados sobre prácticas agrícolas sostenibles.
Farmworkers,hi,"फसल बोने, खेती करने और कटाई में भाग लें। सुरक्षा मानकों के अनुरूप कृषि मशीनरी और उपकरण संचालित करें। पशुओं की देखभाल में सहायता करना, जिसमें भोजन करना, संवारना और स्वास्थ्य निगरानी शामिल है। खेत की सुविधाओं को बनाए रखें, साफ-सफाई और कार्यक्षमता सुनिश्चित करें।","सारा गोंजालेज: ग्रीन वैली ऑर्चर्ड्स में 9 साल का फार्मवर्कर। कीट-प्रबंधन पहल का नेतृत्व किया, जिससे फसल की पैदावार में 15% की वृद्धि हुई। जैविक कृषि तकनीकों और आधुनिक कृषि मशीनरी में कुशल। टिकाऊ कृषि पद्धतियों पर नए कर्मचारियों के लिए प्रशिक्षण का नेतृत्व किया।"
Farmworkers,ar,المشاركة في زراعة المحاصيل وزراعتها وحصادها. قم بتشغيل الآلات والمعدات الزراعية بما يتماشى مع معايير السلامة. المساعدة في رعاية الماشية، بما في ذلك التغذية والعناية الشخصية والمراقبة الصحية. الحفاظ على مرافق المزرعة وضمان النظافة والأداء الوظيفي.,سارة غونزاليس: عاملة مزرعة لديها 9 سنوات في جرين فالي أورشاردز. قاد مبادرة إدارة الآفات التي أدت إلى زيادة غلة المحاصيل بنسبة 15٪. ماهر في تقنيات الزراعة العضوية والآلات الزراعية الحديثة. قاد التدريب للموظفين الجدد على ممارسات الزراعة المستدامة.
Farmworkers,pt,"Participe do plantio, cultivo e colheita de safras. Opere máquinas e equipamentos agrícolas em alinhamento com os padrões de segurança. Auxiliar no cuidado do gado, incluindo alimentação, higiene e monitoramento da saúde. Mantenha as instalações da fazenda, garantindo limpeza e funcionalidade.",Sara Gonzalez: Trabalhadora rural com 9 anos em Green Valley Orchards. Liderou uma iniciativa de controle de pragas que aumentou o rendimento da safra em 15%. Hábil em técnicas de agricultura orgânica e máquinas agrícolas modernas. Liderou treinamento para novos contratados sobre práticas agrícolas sustentáveis.
Farmworkers,bn,"ফসল রোপণ, চাষ এবং ফসল কাটাতে অংশ নিন। নিরাপত্তা মানগুলির সাথে সারিবদ্ধতার সাথে খামার যন্ত্রপাতি এবং সরঞ্জা খাওয়ানো, গ্রুমিং এবং স্বাস্থ্য পর্যবেক্ষণ সহ প্রাণিসম্পদের যত্নে সহায়তা করুন। খামারের সুবিধা বজায় রাখুন, পরিচ্ছন্নতা এবং কার্য",সারা গঞ্জালেজ: গ্রিন ভ্যালি অর্চার্ডসে 9 বছর ধরে কৃষিকর্মী। একটি কীটপতঙ্গ ব্যবস্থাপনা উদ্যোগের নেতৃত্ব দিয়েছিল যা ফসলের ফলন 15% বাড়িয়েছে জৈব কৃষির কৌশল এবং আধুনিক খামার যন্ত্রপাতিতে টেকসই কৃষি পদ্ধতির উপর নতুন নিয়োগের জন্য প্রশিক্ষণের নেতৃত্বে
Farmworkers,ru,"Участвуйте в посадке, выращивании и сборе урожая. Эксплуатируйте сельскохозяйственную технику и оборудование в соответствии со стандартами безопасности. Оказывайте помощь в уходе за домашним скотом, включая кормление, уход и мониторинг состояния здоровья. Поддерживайте сельскохозяйственные помещения, обеспечивая чистоту и функциональность.","Сара Гонсалес: работница на ферме с 9 годами работы в садах Грин-Вэлли. Возглавила инициативу по борьбе с вредителями, которая повысила урожайность на 15%. Обладает навыками органического земледелия и современной сельскохозяйственной техники. Руководил обучением новых сотрудников методам устойчивого ведения сельского хозяйства."
Farmworkers,ja,作物の植え付け、栽培、収穫に参加してください。農業機械や設備を安全基準に沿って運転する。給餌、毛づくり、健康モニタリングなどの家畜の世話を支援する。農場施設を維持し、清潔さと機能性を確保する。,サラ・ゴンザレス：グリーンバレー果樹園で9年間働いた農場労働者。農作物の収穫量を 15% 増やすという害虫駆除の取り組みを主導しました。有機農法と最新の農業機械に長けている。持続可能な農業慣行に関する新入社員の研修を主導。
Farmworkers,de,"Nehmen Sie am Pflanzen, Kultivieren und Ernten von Pflanzen teil. Betreiben Sie landwirtschaftliche Maschinen und Geräte gemäß den Sicherheitsstandards. Unterstützung bei der Tierpflege, einschließlich Fütterung, Fellpflege und Gesundheitsüberwachung. Pflegen Sie die landwirtschaftlichen Einrichtungen und achten Sie auf Sauberkeit und Funktionalität.","Sara Gonzalez: Landarbeiterin mit 9 Jahren bei Green Valley Orchards. Leitete eine Initiative zur Schädlingsbekämpfung, die den Ernteertrag um 15% steigerte. Er kennt sich mit Techniken des ökologischen Landbaus und modernen Landmaschinen aus. Leitete Schulungen für neue Mitarbeiter zu nachhaltigen landwirtschaftlichen Praktiken."
Construction Laborers,en,"Engage in tasks requiring physical labor at construction sites. Utilize and maintain various tools and equipment, ensuring safety and efficiency. Assist with site preparation, digging, erecting scaffolding, and moving materials. Collaborate with skilled tradespeople and follow directions to support project completion.",Samuel Okafor: Construction Laborer with 8 years at BuildRight Inc. Played a key role in completing 20+ major projects ahead of schedule. Certified in operating various construction machines. Awarded 'Laborer of the Month' five times for dedication and efficiency.
Construction Laborers,zh,在建筑工地从事需要体力劳动的任务。使用和维护各种工具和设备，确保安全和效率。协助场地准备、挖掘、搭建脚手架和搬运材料。与熟练的商人合作，按照指示为项目完成提供支持。,塞缪尔·奥卡福尔：在BuildRight Inc.工作了8年的建筑工人。在提前完成20多个重大项目方面发挥了关键作用。获得操作各种建筑机械的认证。凭借奉献精神和效率五次获得 “本月最佳劳动者” 奖。
Construction Laborers,es,"Realice tareas que requieran trabajo físico en las obras de construcción. Utilice y mantenga diversas herramientas y equipos, garantizando la seguridad y la eficiencia. Ayude con la preparación del sitio, la excavación, el montaje de andamios y el traslado de materiales. Colabore con comerciantes calificados y siga las instrucciones para respaldar la finalización del proyecto.","Samuel Okafor: obrero de la construcción con 8 años en BuildRight Inc., desempeñó un papel clave al completar más de 20 proyectos importantes antes de lo previsto. Certificado en el manejo de varias máquinas de construcción. Galardonado cinco veces como «Trabajador del mes» por su dedicación y eficiencia."
Construction Laborers,hi,"निर्माण स्थलों पर शारीरिक श्रम की आवश्यकता वाले कार्यों में संलग्न रहें। सुरक्षा और दक्षता सुनिश्चित करते हुए विभिन्न उपकरणों और उपकरणों का उपयोग करें और उनका रखरखाव करें। साइट तैयार करने, खोदने, मचान खड़ा करने और सामग्री ले जाने में सहायता करें। कुशल व्यापारियों के साथ सहयोग करें और परियोजना को पूरा करने में सहायता करने के लिए निर्देशों का पालन करें।",सैमुअल ओकाफोर: BuildRight Inc. में 8 साल के कंस्ट्रक्शन लेबर ने शेड्यूल से पहले 20+ प्रमुख परियोजनाओं को पूरा करने में महत्वपूर्ण भूमिका निभाई। विभिन्न निर्माण मशीनों के संचालन में प्रमाणित। समर्पण और दक्षता के लिए पांच बार 'लेबरर ऑफ द मंथ' से सम्मानित किया गया।
Construction Laborers,ar,الانخراط في المهام التي تتطلب العمل البدني في مواقع البناء. استخدام وصيانة الأدوات والمعدات المختلفة، مما يضمن السلامة والكفاءة. المساعدة في إعداد الموقع والحفر وإقامة السقالات والمواد المتحركة. تعاون مع التجار المهرة واتبع التوجيهات لدعم إكمال المشروع.,صامويل أوكافور: عامل بناء يعمل لمدة 8 سنوات في BuildRight Inc. لعب دورًا رئيسيًا في إكمال أكثر من 20 مشروعًا رئيسيًا قبل الموعد المحدد. معتمد في تشغيل آلات البناء المختلفة. حصل على جائزة «عامل الشهر» خمس مرات لتفانيه وكفاءته.
Construction Laborers,pt,"Envolva-se em tarefas que exijam trabalho físico em canteiros de obras. Utilize e mantenha várias ferramentas e equipamentos, garantindo segurança e eficiência. Auxiliar na preparação do local, escavação, montagem de andaimes e movimentação de materiais. Colabore com comerciantes qualificados e siga as instruções para apoiar a conclusão do projeto.",Samuel Okafor: Trabalhador de construção civil com 8 anos na BuildRight Inc. Desempenhou um papel fundamental na conclusão de mais de 20 grandes projetos antes do previsto. Certificado na operação de várias máquinas de construção. Premiado como “Trabalhador do Mês” cinco vezes por dedicação e eficiência.
Construction Laborers,bn,"নির্মাণ সাইটে শারীরিক শ্রমের প্রয়োজনীয় কাজগুলিতে জড়িত হন সুরক্ষা এবং দক্ষতা নিশ্চিত করে বিভিন্ন সরঞ্জাম এবং সরঞ্জাম ব্যবহার এবং বজায় রাখুন। সাইট প্রস্তুতি, খনন, স্ক্যাফোল্ডিং স্থাপন এবং সামগ্রী চলাচল করতে সহায়তা করুন। দক্ষ ব্যবসায়ীদের সাথে সহযোগিতা করুন এবং প্রকল্প সমাপ্তির জন্য নির্দেশাবলী অনুসরণ করুন।",স্যামুয়েল ওকাফর: বিল্ডরাইট ইনকর্পোরেটেডে 8 বছর থাকা নির্মাণ শ্রমিক সময়সূচীর আগে 20+ বড় প্রকল্প সম্পন্ন করতে মূল ভূমিকা পালন করেছেন। বিভিন্ন নির্মাণ মেশিন পরিচালনার ক্ষেত্রে প্রত্যয়িত। উত্সর্গ ও দক্ষতার জন্য পাঁচবার 'মাসের শ্রমিক' পুরস্কার দেওয়া হয়।
Construction Laborers,ru,"Занимайтесь задачами, требующими физического труда на строительных площадках. Используйте и обслуживайте различные инструменты и оборудование, обеспечивая безопасность и эффективность. Оказывайте помощь в подготовке площадки, земляных работах, возведении строительных лесов и перемещении материалов. Сотрудничайте с квалифицированными специалистами и следуйте инструкциям для содействия завершению проекта.","Сэмюэл Окафор: строитель с 8-летним стажем работы в BuildRight Inc., сыграл ключевую роль в досрочном завершении более 20 крупных проектов. Сертифицирован в области эксплуатации различных строительных машин. Пять раз был удостоен звания «Рабочий месяца» за самоотверженность и эффективность."
Construction Laborers,ja,建設現場での肉体労働を必要とする作業に従事する。さまざまな工具や設備を活用、維持し、安全性と効率性を確保する。現場の準備、掘削、足場の設置、資材の移動を支援します。熟練した職人と協力し、指示に従ってプロジェクトの完了を支援します。,サミュエル・オカフォー：BuildRight Inc.で8年間勤務した建設労働者は、20以上の主要プロジェクトを予定より早く完了する上で重要な役割を果たしました。各種建設機械の運転経験を有しています。献身と効率性が評価され、「今月の労働者」を5回受賞しました。
Construction Laborers,de,"Erledigen Sie Aufgaben, die körperliche Arbeit auf Baustellen erfordern. Verwenden und warten Sie verschiedene Werkzeuge und Geräte, um Sicherheit und Effizienz zu gewährleisten. Unterstützung bei der Vorbereitung der Baustelle, beim Graben, Aufstellen von Gerüsten und beim Transport von Materialien. Arbeiten Sie mit erfahrenen Handwerkern zusammen und befolgen Sie die Anweisungen, um den Projektabschluss zu unterstützen.",Samuel Okafor: Bauarbeiter mit 8 Jahren bei BuildRight Inc. Er spielte eine Schlüsselrolle bei der vorzeitigen Fertigstellung von mehr als 20 Großprojekten. Zertifiziert für den Betrieb verschiedener Baumaschinen. Fünfmal als „Arbeiter des Monats“ für Engagement und Effizienz ausgezeichnet.
Janitors and Cleaners,en,"Clean and maintain the appearance and functionality of assigned buildings or areas. Utilize various equipment and products to ensure thorough sanitation. Address minor maintenance issues, from changing light bulbs to minor repairs. Adhere to health and safety guidelines, ensuring a safe environment for building occupants.","Lily Chen: Head Janitor with 7 years at City Mall. Implemented eco-friendly cleaning practices, reducing costs by 10%. Skilled in advanced sanitation equipment and techniques. Recognized for consistently exceeding cleanliness standards and training new staff."
Janitors and Cleaners,zh,清洁和维护指定建筑物或区域的外观和功能。使用各种设备和产品，确保彻底的卫生。解决次要维护问题，从更换灯泡到小修。遵守健康和安全准则，确保建筑物居住者的安全环境。,Lily Chen：在城市购物中心工作了7年的首席看门人。实施了环保清洁措施，将成本降低了10％。精通先进的卫生设备和技术。因持续超越清洁标准和培训新员工而受到认可。
Janitors and Cleaners,es,"Limpie y mantenga la apariencia y la funcionalidad de los edificios o áreas asignados. Utilice varios equipos y productos para garantizar un saneamiento completo. Aborde los problemas de mantenimiento menores, desde el cambio de bombillas hasta las reparaciones menores. Cumpla con las pautas de salud y seguridad para garantizar un entorno seguro para los ocupantes del edificio.","Lily Chen: jefa de limpieza con 7 años en City Mall. Implementé prácticas de limpieza ecológicas, reduciendo los costos en un 10%. Experto en equipos y técnicas de saneamiento avanzados. Reconocido por superar constantemente los estándares de limpieza y capacitar a nuevo personal."
Janitors and Cleaners,hi,"निर्धारित इमारतों या क्षेत्रों की उपस्थिति और कार्यक्षमता को साफ और बनाए रखें। संपूर्ण स्वच्छता सुनिश्चित करने के लिए विभिन्न उपकरणों और उत्पादों का उपयोग करें। लाइट बल्ब बदलने से लेकर मामूली मरम्मत तक, रखरखाव की छोटी-मोटी समस्याओं का समाधान करें। भवन में रहने वालों के लिए सुरक्षित वातावरण सुनिश्चित करते हुए, स्वास्थ्य और सुरक्षा दिशानिर्देशों का पालन करें।","लिली चेन: सिटी मॉल में 7 साल की हेड चौकीदार। पर्यावरण के अनुकूल सफाई पद्धतियों को लागू किया, जिससे लागत में 10% की कमी आई। उन्नत स्वच्छता उपकरणों और तकनीकों में कुशल। स्वच्छता मानकों को लगातार पार करने और नए कर्मचारियों को प्रशिक्षित करने के लिए मान्यता प्राप्त है।"
Janitors and Cleaners,ar,قم بتنظيف والحفاظ على مظهر ووظائف المباني أو المناطق المخصصة. استخدم العديد من المعدات والمنتجات لضمان الصرف الصحي الشامل. قم بمعالجة مشكلات الصيانة البسيطة، من تغيير المصابيح الكهربائية إلى الإصلاحات الطفيفة. الالتزام بإرشادات الصحة والسلامة، وضمان بيئة آمنة لشاغلي المبنى.,ليلي تشين: رئيسة عمال النظافة ولديها 7 سنوات في سيتي مول. تم تنفيذ ممارسات تنظيف صديقة للبيئة، مما أدى إلى خفض التكاليف بنسبة 10٪. ماهر في معدات وتقنيات الصرف الصحي المتقدمة. معترف به لتجاوز معايير النظافة باستمرار وتدريب الموظفين الجدد.
